id;name;short_name;description;address_id
1;protocol Pound;Guinea-Bis;sensor black;1
2;virtual Associate Tools;model;Shoes;2
3;Auto Representative HTTP;Salad syst;Frozen Facilitator;3
4;open-source Extension payment;Maryland;technologies Officer;4
5;Sausages;XSS;indigo;5
6;paradigm complexity;dynamic Mi;Chief Research;6
7;Product Argentina utilisation;blockchain;e-commerce intermediate Island;7
8;Automotive Account Ameliorated;input Acco;invoice Krona Summit;8
9;SCSI orchestration;Cambridges;functionalities Vietnam driver;9
10;Fresh;Salad redu;invoice Account;10
