id;distributor_name;payment_date;total_amount;user_id
1;Supervisor Frozen Cloned;2023-05-08T05:47:31;12286;1
2;Principal;2023-05-07T14:47:41;91314;2
3;ivory heuristic;2023-05-07T17:36:02;68473;1
4;circuit drive white;2023-05-07T14:36:18;61176;1
5;platforms calculating;2023-05-08T03:39:13;54537;1
6;contextually-based Music Table;2023-05-08T03:36:58;60506;1
7;partnerships mobile;2023-05-07T23:05:42;72268;2
8;static envisioneer Shoes;2023-05-07T22:37:34;79633;1
9;invoice;2023-05-07T12:57:29;9429;2
10;Investor;2023-05-07T09:29:13;65187;1
